state,year,total,D,R,R_pv2p,D_pv2p
Alabama,1976,1182850,659170,504070,43.33327602,56.66672398
Alabama,1980,1341929,636730,654192,50.67633831,49.32366169
Alabama,1984,1441713,551899,872849,61.26339535,38.73660465
Alabama,1988,1378476,549506,815576,59.7455684,40.2544316
Alabama,1992,1688060,690080,804283,53.82112646,46.17887354
Alabama,1996,1534349,662165,769044,53.73387115,46.26612885
Alabama,2000,1666272,692611,941173,57.60694192,42.39305808
Alabama,2004,1883415,693933,1176394,62.89777135,37.10222865
Alabama,2008,2099819,813479,1266546,60.89090275,39.10909725
Alabama,2012,2074338,795696,1255925,61.21622853,38.78377147
Alabama,2016,2123372,729547,1318255,64.37414359,35.62585641
Alaska,1976,123574,44058,71555,61.89182877,38.10817123
Alaska,1980,158445,41842,86112,67.29918564,32.70081436
Alaska,1984,207605,62007,138377,69.05591265,30.94408735
Alaska,1988,200116,72584,119251,62.16331743,37.83668257
Alaska,1992,258506,78294,102000,56.57426204,43.42573796
Alaska,1996,241620,80380,122746,60.42850251,39.57149749
Alaska,2000,285560,79004,167398,67.93694856,32.06305144
Alaska,2004,312598,111025,190889,63.22628298,36.77371702
Alaska,2008,326197,123594,193841,61.06478492,38.93521508
Alaska,2012,300495,122640,164676,57.31529048,42.68470952
Alaska,2016,318608,116454,163387,58.38565471,41.61434529
Arizona,1976,742719,295602,418642,58.61330302,41.38669698
Arizona,1980,873945,246843,529688,68.21208683,31.78791317
Arizona,1984,1025897,333854,681416,67.11672757,32.88327243
Arizona,1988,1171873,454029,702541,60.74349153,39.25650847
Arizona,1992,1486975,543050,572086,51.30190398,48.69809602
Arizona,1996,1404405,653288,622073,48.77622885,51.22377115
Arizona,2000,1532016,685341,781652,53.28259917,46.71740083
Arizona,2004,2012585,893524,1104294,55.27500503,44.72499497
Arizona,2008,2293475,1034707,1230111,54.31390072,45.68609928
Arizona,2012,2299254,1025232,1233654,54.61338022,45.38661978
Arizona,2016,2573165,1161167,1252401,51.8900234,48.1099766
Arkansas,1976,767535,498604,267903,34.95114852,65.04885148
Arkansas,1980,837582,398041,403164,50.31970594,49.68029406
Arkansas,1984,884406,338646,534774,61.2275881,38.7724119
Arkansas,1988,827738,349237,466578,57.19164271,42.80835729
Arkansas,1992,950653,505823,337324,40.00773293,59.99226707
Arkansas,1996,884262,475171,325416,40.64717514,59.35282486
Arkansas,2000,921781,422768,472940,52.80068951,47.19931049
Arkansas,2004,1054945,469953,572898,54.93574825,45.06425175
Arkansas,2008,1086617,422310,638017,60.17172061,39.82827939
Arkansas,2012,1069468,394409,647744,62.15440535,37.84559465
Arkansas,2016,1130635,380494,684872,64.28513769,35.71486231
California,1976,7803770,3742284,3882244,50.91782731,49.08217269
California,1980,8582938,3082943,4522994,59.46662456,40.53337544
California,1984,9505041,3922519,5467009,58.22453482,41.77546518
California,1988,9887065,4702233,5054917,51.80731054,48.19268946
California,1992,11131721,5121325,3630574,41.48327123,58.51672877
California,1996,10019469,5119835,3828381,42.78373477,57.21626523
California,2000,10965822,5861203,4567429,43.79701,56.20299
California,2004,12421353,6745485,5509826,44.95867955,55.04132045
California,2008,13561900,8274473,5011781,37.72155041,62.27844959
California,2012,13038547,7854285,4839958,38.12718884,61.87281116
California,2016,14181595,8753788,4483810,33.87177946,66.12822054
Colorado,1976,1081440,460801,584278,55.90754383,44.09245617
Colorado,1980,1184450,368009,652264,63.93034021,36.06965979
Colorado,1984,1295380,454975,821817,64.36576984,35.63423016
Colorado,1988,1372394,621453,728177,53.95382438,46.04617562
Colorado,1992,1569180,629681,562850,47.19793448,52.80206552
Colorado,1996,1510702,671152,691848,50.75920763,49.24079237
Colorado,2000,1741368,738227,883748,54.48591994,45.51408006
Colorado,2004,2129630,1001732,1101255,52.36622956,47.63377044
Colorado,2008,2401361,1288576,1073589,45.44936531,54.55063469
Colorado,2012,2569516,1323101,1185243,47.25201169,52.74798831
Colorado,2016,2780220,1338870,1202484,47.31666663,52.68333337
Connecticut,1976,1386355,647895,719261,52.61001671,47.38998329
Connecticut,1980,1406285,541732,677210,55.55719632,44.44280368
Connecticut,1984,1466900,569597,890877,60.99916876,39.00083124
Connecticut,1988,1443394,676584,750241,52.58115046,47.41884954
Connecticut,1992,1616156,682318,578313,45.87488329,54.12511671
Connecticut,1996,1392614,735740,483109,39.63649312,60.36350688
Connecticut,2000,1459525,816015,561094,40.74434195,59.25565805
Connecticut,2004,1578769,857488,693826,44.72505244,55.27494756
Connecticut,2008,1646792,997772,629428,38.68166175,61.31833825
Connecticut,2012,1558204,905083,634892,41.22742252,58.77257748
Connecticut,2016,1644920,897572,673215,42.85845248,57.14154752
Delaware,1976,235642,122461,109780,47.26986191,52.73013809
Delaware,1980,235668,105754,111252,51.26678525,48.73321475
Delaware,1984,254572,101656,152190,59.9536727,40.0463273
Delaware,1988,249891,108647,139639,56.2411896,43.7588104
Delaware,1992,289620,126054,102313,44.8020073,55.1979927
Delaware,1996,270810,140355,99062,41.37634337,58.62365663
Delaware,2000,327529,180068,137288,43.25993521,56.74006479
Delaware,2004,375190,200152,171660,46.16849375,53.83150625
Delaware,2008,412412,255459,152374,37.36186135,62.63813865
Delaware,2012,413890,242584,165484,40.55304508,59.44695492
Delaware,2016,441590,235603,185127,44.00137856,55.99862144
District of Columbia,1976,168830,137818,27873,16.82227761,83.17772239
District of Columbia,1980,173889,130231,23313,15.18326994,84.81673006
District of Columbia,1984,211288,180408,29009,13.85226605,86.14773395
District of Columbia,1988,192877,159407,27590,14.75424739,85.24575261
District of Columbia,1992,227572,192619,20698,9.702930381,90.29706962
District of Columbia,1996,185726,158220,17339,9.876451791,90.12354821
District of Columbia,2000,201894,171923,18073,9.512305522,90.48769448
District of Columbia,2004,227586,202970,21256,9.479721353,90.52027865
District of Columbia,2008,265853,245800,17367,6.599231667,93.40076833
District of Columbia,2012,293764,267070,21381,7.412350798,92.5876492
District of Columbia,2016,312575,282830,12723,4.304811658,95.69518834
Florida,1976,3150631,1636000,1469531,47.31979813,52.68020187
Florida,1980,3686927,1419475,2046951,59.05076295,40.94923705
Florida,1984,4180051,1448816,2730350,65.33241321,34.66758679
Florida,1988,4302313,1656701,2618885,61.25207165,38.74792835
Florida,1992,5313392,2071698,2173310,51.19684109,48.80315891
Florida,1996,5303154,2546870,2244536,46.8450388,53.1549612
Florida,2000,5963110,2912253,2912790,50.00460941,49.99539059
Florida,2004,7609810,3583544,3964522,52.52367958,47.47632042
Florida,2008,8390744,4282074,4045624,48.58033997,51.41966003
Florida,2012,8474179,4237756,4163447,49.55774786,50.44225214
Florida,2016,9420039,4504975,4617886,50.61883547,49.38116453
Georgia,1976,1463152,979409,483743,33.06170514,66.93829486
Georgia,1980,1596805,890955,654168,42.33760031,57.66239969
Georgia,1984,1776103,706628,1068722,60.19782015,39.80217985
Georgia,1988,1809672,714792,1081331,60.20361634,39.79638366
Georgia,1992,2321133,1008966,995252,49.65787155,50.34212845
Georgia,1996,2298899,1053849,1080843,50.6322692,49.3677308
Georgia,2000,2583208,1116230,1419720,55.98375362,44.01624638
Georgia,2004,3301875,1366149,1914254,58.3542327,41.6457673
Georgia,2008,3924486,1844123,2048759,52.62833551,47.37166449
Georgia,2012,3897839,1773827,2078688,53.9566491,46.0433509
Georgia,2016,4114732,1877963,2089104,52.6611726,47.3388274
Hawaii,1976,291301,147375,140003,48.71736876,51.28263124
Hawaii,1980,303287,135879,130112,48.91594076,51.08405924
Hawaii,1984,335846,147154,185050,55.70372422,44.29627578
Hawaii,1988,354461,192364,158625,45.19372402,54.80627598
Hawaii,1992,372842,179310,136822,43.28002227,56.71997773
Hawaii,1996,360120,205012,113943,35.72384819,64.27615181
Hawaii,2000,367951,205286,137845,40.17270372,59.82729628
Hawaii,2004,429013,231708,194191,45.595552,54.404448
Hawaii,2008,456064,325871,120566,27.00627412,72.99372588
Hawaii,2012,437159,306658,121015,28.2961515,71.7038485
Hawaii,2016,437664,266891,128847,32.55866255,67.44133745
Idaho,1976,340932,126549,204151,61.73299063,38.26700937
Idaho,1980,437431,110192,290699,72.51322679,27.48677321
Idaho,1984,411144,108510,297523,73.2755712,26.7244288
Idaho,1988,408968,147272,253881,63.28782285,36.71217715
Idaho,1992,482114,137013,202645,59.66148302,40.33851698
Idaho,1996,491711,165443,256595,60.79902758,39.20097242
Idaho,2000,501615,138637,336937,70.84849046,29.15150954
Idaho,2004,598376,181098,409235,69.32273818,30.67726182
Idaho,2008,655122,236440,403012,63.02458981,36.97541019
Idaho,2012,652274,212787,420911,66.42138684,33.57861316
Idaho,2016,690255,189765,409055,68.31017668,31.68982332
Illinois,1976,4721282,2271295,2364269,51.00283374,48.99716626
Illinois,1980,4749721,1981413,2358049,54.33966238,45.66033762
Illinois,1984,4819088,2086499,2707103,56.47325331,43.52674669
Illinois,1988,4559120,2215940,2310939,51.049277,48.950723
Illinois,1992,5050157,2453350,1734096,41.41178179,58.58821821
Illinois,1996,4311391,2341744,1587021,40.39490781,59.60509219
Illinois,2000,4742108,2589026,2019421,43.81998968,56.18001032
Illinois,2004,5274322,2891550,2345946,44.79136595,55.20863405
Illinois,2008,5522371,3419348,2031179,37.26573596,62.73426404
Illinois,2012,5242014,3019512,2135216,41.42247661,58.57752339
Illinois,2016,5536424,3090729,2146015,40.97994861,59.02005139
Indiana,1976,2220362,1014714,1183958,53.84877781,46.15122219
Indiana,1980,2242033,844197,1255656,59.79732867,40.20267133
Indiana,1984,2233069,841481,1377230,62.07342912,37.92657088
Indiana,1988,2168621,860643,1297763,60.12599112,39.87400888
Indiana,1992,2305871,848420,989375,53.83489453,46.16510547
Indiana,1996,2135431,887424,1006693,53.14840636,46.85159364
Indiana,2000,2199302,901980,1245836,58.00478253,41.99521747
Indiana,2004,2468002,969011,1479438,60.42347625,39.57652375
Indiana,2008,2751054,1374039,1345648,49.47804655,50.52195345
Indiana,2012,2624534,1152887,1420543,55.2003746,44.7996254
Indiana,2016,2734958,1033126,1557286,60.11730952,39.88269048
Iowa,1976,1279303,619931,632864,50.51616585,49.48383415
Iowa,1980,1317661,508672,676026,57.06315027,42.93684973
Iowa,1984,1319805,605620,703088,53.72382533,46.27617467
Iowa,1988,1225614,670557,545355,44.85151886,55.14848114
Iowa,1992,1354607,586353,504891,46.26747089,53.73252911
Iowa,1996,1234075,620258,492644,44.26661108,55.73338892
Iowa,2000,1353022,638517,634373,49.83722081,50.16277919
Iowa,2004,1506908,741898,751957,50.33667926,49.66332074
Iowa,2008,1537123,828940,682379,45.15122221,54.84877779
Iowa,2012,1582180,822544,730617,47.04064807,52.95935193
Iowa,2016,1565580,653669,800983,55.06354785,44.93645215
Kansas,1976,957845,430421,502752,53.87554076,46.12445924
Kansas,1980,979795,326150,566812,63.47548944,36.52451056
Kansas,1984,1021991,333149,677296,67.02947711,32.97052289
Kansas,1988,993044,422636,554049,56.7275017,43.2724983
Kansas,1992,1157236,390434,449951,53.54105559,46.45894441
Kansas,1996,1074300,387659,583245,60.07236555,39.92763445
Kansas,2000,1072216,399276,622332,60.91690746,39.08309254
Kansas,2004,1187756,434993,736456,62.86709878,37.13290122
Kansas,2008,1235872,514765,699655,57.61227582,42.38772418
Kansas,2012,1159971,440726,692634,61.11332675,38.88667325
Kansas,2016,1184402,427005,671018,61.11147034,38.88852966
Kentucky,1976,1167142,615717,531852,46.34597135,53.65402865
Kentucky,1980,1295627,617417,635274,50.7127456,49.2872544
Kentucky,1984,1369345,539539,821702,60.36418239,39.63581761
Kentucky,1988,1322517,580368,734281,55.85376781,44.14623219
Kentucky,1992,1492900,665104,617178,48.13122231,51.86877769
Kentucky,1996,1388708,636614,623283,49.47094882,50.52905118
Kentucky,2000,1544106,638923,872520,57.72761527,42.27238473
Kentucky,2004,1795882,712733,1069439,60.00761992,39.99238008
Kentucky,2008,1826620,751985,1048462,58.23342759,41.76657241
Kentucky,2012,1797212,679370,1087190,61.54277239,38.45722761
Kentucky,2016,1924149,628854,1202971,65.67062902,34.32937098
Louisiana,1976,1277383,661365,587446,47.04042485,52.95957515
Louisiana,1980,1548591,708453,792853,52.81088599,47.18911401
Louisiana,1984,1706822,651586,1037299,61.41916116,38.58083884
Louisiana,1988,1628202,717460,883702,55.19129232,44.80870768
Louisiana,1992,1790017,815971,733386,47.33486214,52.66513786
Louisiana,1996,1783959,927837,712586,43.43916173,56.56083827
Louisiana,2000,1765656,792344,927871,53.93924597,46.06075403
Louisiana,2004,1943106,820299,1102169,57.33094127,42.66905873
Louisiana,2008,1960761,782989,1148275,59.45717416,40.54282584
Louisiana,2012,1994065,809141,1152262,58.74682561,41.25317439
Louisiana,2016,2029032,780154,1178638,60.17167724,39.82832276
Maine,1976,482968,232279,236320,50.4311789,49.5688211
Maine,1980,523011,220974,238522,51.90948343,48.09051657
Maine,1984,553144,214515,336500,61.0691179,38.9308821
Maine,1988,555035,243569,307131,55.7710187,44.2289813
Maine,1992,679499,263420,206504,43.94412714,56.05587286
Maine,1996,605897,312788,186378,37.33787958,62.66212042
Maine,2000,651817,319951,286616,47.25215846,52.74784154
Maine,2004,740752,396842,330201,45.41698359,54.58301641
Maine,2008,731163,421923,295273,41.17047502,58.82952498
Maine,2012,724758,401306,292276,42.14007861,57.85992139
Maine,2016,771892,357735,335593,48.40320887,51.59679113
Maryland,1976,1432273,759612,672661,46.96458008,53.03541992
Maryland,1980,1540496,726161,680606,48.38086193,51.61913807
Maryland,1984,1675873,787935,879918,52.75752719,47.24247281
Maryland,1988,1714358,826304,876167,51.46443023,48.53556977
Maryland,1992,1984580,988571,707094,41.70009996,58.29990004
Maryland,1996,1780870,966207,681530,41.36157651,58.63842349
Maryland,2000,2025212,1144008,813827,41.56770106,58.43229894
Maryland,2004,2384238,1334493,1024703,43.43441579,56.56558421
Maryland,2008,2631596,1629467,959862,37.06991271,62.93008729
Maryland,2012,2707327,1677844,971869,36.67827421,63.32172579
Maryland,2016,2781446,1677928,943169,35.98375032,64.01624968
Massachusetts,1976,2547558,1429475,1030276,41.88537783,58.11462217
Massachusetts,1980,2524090,1053802,1057631,50.09067302,49.90932698
Massachusetts,1984,2559383,1239606,1310936,51.39833024,48.60166976
Massachusetts,1988,2632801,1401415,1194635,46.01741107,53.98258893
Massachusetts,1992,2773664,1318639,805039,37.90777133,62.09222867
Massachusetts,1996,2556459,1571509,718058,31.36217459,68.63782541
Massachusetts,2000,2733964,1616487,878502,35.21065624,64.78934376
Massachusetts,2004,2927455,1803800,1071109,37.25714449,62.74285551
Massachusetts,2008,3102995,1904097,1108854,36.80292179,63.19707821
Massachusetts,2012,3184196,1921290,1188314,38.21431925,61.78568075
Massachusetts,2016,3378821,1995196,1090893,35.34872131,64.65127869
Michigan,1976,3651590,1696714,1893742,52.74377405,47.25622595
Michigan,1980,3909725,1661532,1915225,53.5464109,46.4535891
Michigan,1984,3801658,1529638,2251571,59.546325,40.453675
Michigan,1988,3669163,1675783,1965486,53.97804996,46.02195004
Michigan,1992,4274673,1871182,1554940,45.38484035,54.61515965
Michigan,1996,3848844,1989653,1481212,42.67558663,57.32441337
Michigan,2000,4232501,2170418,1953139,47.36539352,52.63460648
Michigan,2004,4839252,2479183,2313746,48.27415553,51.72584447
Michigan,2008,5001596,2872579,2048639,41.62869842,58.37130158
Michigan,2012,4730961,2564569,2115256,45.19946793,54.80053207
Michigan,2016,4799284,2268839,2279543,50.11766822,49.88233178
Minnesota,1976,1949931,1070440,819395,43.35801803,56.64198197
Minnesota,1980,2051916,954173,873268,47.78638544,52.21361456
Minnesota,1984,2084449,1036364,1032603,49.90910923,50.09089077
Minnesota,1988,2096790,1109471,962337,46.44914007,53.55085993
Minnesota,1992,2347948,1020997,747841,42.27865978,57.72134022
Minnesota,1996,2192492,1120380,766395,40.61931073,59.38068927
Minnesota,2000,2438685,1168266,1109659,48.71358802,51.28641198
Minnesota,2004,2828387,1445014,1346695,48.23908939,51.76091061
Minnesota,2008,2910369,1573354,1275409,44.770625,55.229375
Minnesota,2012,2936561,1546167,1320225,46.05877354,53.94122646
Minnesota,2016,2944782,1367705,1322949,49.16830629,50.83169371
Mississippi,1976,768390,381329,366846,49.03211147,50.96788853
Mississippi,1980,891750,429281,441089,50.6783322,49.3216678
Mississippi,1984,941104,352192,582377,62.31503506,37.68496494
Mississippi,1988,931527,363921,557890,60.52108296,39.47891704
Mississippi,1992,981793,400258,487793,54.92848947,45.07151053
Mississippi,1996,893857,394022,439838,52.74722375,47.25277625
Mississippi,2000,994184,404614,572844,58.60548484,41.39451516
Mississippi,2004,1139824,457766,672660,59.50500077,40.49499923
Mississippi,2008,1289865,554662,724597,56.64193099,43.35806901
Mississippi,2012,1285584,562949,710746,55.8018992,44.1981008
Mississippi,2016,1209357,485131,700714,59.08984732,40.91015268
Missouri,1976,1953600,998387,927443,48.15809287,51.84190713
Missouri,1980,2099824,931182,1074181,53.56541434,46.43458566
Missouri,1984,2122771,848583,1274188,60.02475067,39.97524933
Missouri,1988,2093228,1001619,1084953,51.99691168,48.00308832
Missouri,1992,2391270,1053873,811159,43.4930339,56.5069661
Missouri,1996,2158065,1025935,890016,46.45296252,53.54703748
Missouri,2000,2359892,1111138,1189924,51.71194866,48.28805134
Missouri,2004,2731364,1259171,1455713,53.61971267,46.38028733
Missouri,2008,2925205,1441911,1445814,50.06757915,49.93242085
Missouri,2012,2757323,1223796,1482440,54.77866675,45.22133325
Missouri,2016,2808605,1071068,1594511,59.818561,40.181439
Montana,1976,328734,149259,173703,53.78434615,46.21565385
Montana,1980,363952,118032,206814,63.66524445,36.33475555
Montana,1984,384377,146742,232450,61.30139876,38.69860124
Montana,1988,365674,168936,190412,52.98818972,47.01181028
Montana,1992,410583,154507,144207,48.27594288,51.72405712
Montana,1996,407083,167922,179652,51.68741045,48.31258955
Montana,2000,410986,137126,240178,63.65636198,36.34363802
Montana,2004,450434,173710,266063,60.50007618,39.49992382
Montana,2008,490109,231667,242763,51.16940328,48.83059672
Montana,2012,484048,201839,267928,57.03423186,42.96576814
Montana,2016,494526,177709,279240,61.10966432,38.89033568
Nebraska,1976,606749,233293,359219,60.62645145,39.37354855
Nebraska,1980,639533,166424,419214,71.58244513,28.41755487
Nebraska,1984,652090,187866,460054,71.00475367,28.99524633
Nebraska,1988,661465,259235,397956,60.55408549,39.44591451
Nebraska,1992,737546,216864,343678,61.31173043,38.68826957
Nebraska,1996,677415,236761,363467,60.5548225,39.4451775
Nebraska,2000,697019,231780,433862,65.17948086,34.82051914
Nebraska,2004,778186,254328,512814,66.84733726,33.15266274
Nebraska,2008,801281,333319,452979,57.60907442,42.39092558
Nebraska,2012,794379,302081,475064,61.12939027,38.87060973
Nebraska,2016,844227,284494,495961,63.54767411,36.45232589
Nevada,1976,201876,92479,101273,52.26939593,47.73060407
Nevada,1980,243692,66666,155017,69.92732866,30.07267134
Nevada,1984,282717,91655,188770,67.31568155,32.68431845
Nevada,1988,343133,132738,206040,60.81858916,39.18141084
Nevada,1992,506318,189148,175828,48.17522248,51.82477752
Nevada,1996,464279,203974,199244,49.41346864,50.58653136
Nevada,2000,609426,279978,301575,51.8568385,48.1431615
Nevada,2004,829587,397190,418690,51.31759572,48.68240428
Nevada,2008,967848,533736,412827,43.61326187,56.38673813
Nevada,2012,1014918,531373,463567,46.59245784,53.40754216
Nevada,2016,1125385,539260,512058,48.70629058,51.29370942
New Hampshire,1976,339627,147645,185935,55.73925295,44.26074705
New Hampshire,1980,383990,108864,221705,67.06769237,32.93230763
New Hampshire,1984,388904,120347,267050,68.93445225,31.06554775
New Hampshire,1988,450525,163696,281537,63.23363273,36.76636727
New Hampshire,1992,537215,209040,202484,49.20344864,50.79655136
New Hampshire,1996,496597,246166,196486,44.38836829,55.61163171
New Hampshire,2000,569081,266348,273559,50.6678002,49.3321998
New Hampshire,2004,678287,340511,331237,49.30971138,50.69028862
New Hampshire,2008,710970,384826,316534,45.13145888,54.86854112
New Hampshire,2012,710972,369561,329918,47.16624802,52.83375198
New Hampshire,2016,744296,348526,345790,49.80297156,50.19702844
New Jersey,1976,3014472,1444653,1509688,51.10066847,48.89933153
New Jersey,1980,2975684,1147364,1546557,57.40914451,42.59085549
New Jersey,1984,3217862,1261323,1933630,60.52139108,39.47860892
New Jersey,1988,3099553,1320352,1743192,56.90115761,43.09884239
New Jersey,1992,3343594,1436206,1356865,48.57968165,51.42031835
New Jersey,1996,3075860,1652361,1103099,40.0332068,59.9667932
New Jersey,2000,3187226,1788850,1284173,41.78859058,58.21140942
New Jersey,2004,3611691,1911430,1670003,46.62946368,53.37053632
New Jersey,2008,3868237,2215422,1613207,42.13537013,57.86462987
New Jersey,2012,3638499,2122786,1478088,41.04803445,58.95196555
New Jersey,2016,3874046,2148278,1601933,42.71580986,57.28419014
New Mexico,1976,416590,201148,211419,51.24476752,48.75523248
New Mexico,1980,456237,167826,250779,59.90826674,40.09173326
New Mexico,1984,514370,201769,307101,60.34959813,39.65040187
New Mexico,1988,521387,244497,270341,52.50991574,47.49008426
New Mexico,1992,569986,261617,212824,44.85784323,55.14215677
New Mexico,1996,556074,273495,232751,45.97586944,54.02413056
New Mexico,2000,598605,286783,286417,49.96807397,50.03192603
New Mexico,2004,756304,370942,376930,50.40033589,49.59966411
New Mexico,2008,830158,472422,346832,42.33509998,57.66490002
New Mexico,2012,783758,415335,335788,44.70479535,55.29520465
New Mexico,2016,798319,385234,319667,45.34920507,54.65079493
New York,1976,6668262,3244165,2825913,46.55480539,53.44519461
New York,1980,6201959,2728372,2637700,49.1551362,50.8448638
New York,1984,6806810,3001285,3376519,52.94171787,47.05828213
New York,1988,6485683,3255487,2838414,46.57794736,53.42205264
New York,1992,7079432,3346894,2041690,37.8891746,62.1108254
New York,1996,6439129,3649630,1738707,32.26797062,67.73202938
New York,2000,6960215,3942215,2258577,36.42400842,63.57599158
New York,2004,7448266,4180755,2806993,40.17020934,59.82979066
New York,2008,7722019,4645332,2418323,34.23614262,65.76385738
New York,2012,7116784,4324228,2223397,33.95730513,66.04269487
New York,2016,7802084,4379789,2527142,36.5884935,63.4115065
North Carolina,1976,1677906,927365,741960,44.4467075,55.5532925
North Carolina,1980,1855833,875635,915018,51.09968263,48.90031737
North Carolina,1984,2175361,824287,1346481,62.02786295,37.97213705
North Carolina,1988,2134370,890167,1237258,58.15753787,41.84246213
North Carolina,1992,2611850,1114042,1134661,50.45846428,49.54153572
North Carolina,1996,2515807,1107849,1225938,52.52998667,47.47001333
North Carolina,2000,2914990,1257692,1631163,56.46399698,43.53600302
North Carolina,2004,3501007,1525849,1961166,56.241972,43.758028
North Carolina,2008,4310851,2142651,2128474,49.8340367,50.1659633
North Carolina,2012,4505372,2178391,2270395,51.0340349,48.9659651
